national_number,gen,english_name,primary_type,secondary_type,description,image_link
196,II,Espeon,psychic,,"By reading air currents, it can predict things such as the weather or its foe’s next move.",static/Pokemon/espeon.png
197,II,Umbreon,dark,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.",static/Pokemon/umbreon.png
198,II,Murkrow,dark,flying,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.,static/Pokemon/murkrow.png
199,II,Slowking,water,psychic,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain.",static/Pokemon/slowking.png
200,II,Misdreavus,ghost,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking.",static/Pokemon/misdreavus.png
201,II,Unown,psychic,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",static/Pokemon/unown.png
202,II,Wobbuffet,psychic,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.",static/Pokemon/wobbuffet.png
203,II,Girafarig,normal,psychic,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.",static/Pokemon/girafarig.png
204,II,Pineco,bug,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly.",static/Pokemon/pineco.png
205,II,Forretress,bug,steel,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex.",static/Pokemon/forretress.png
206,II,Dunsparce,normal,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.,static/Pokemon/dunsparce.png
207,II,Gligar,ground,flying,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",static/Pokemon/gligar.png
208,II,Steelix,steel,ground,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like.",static/Pokemon/steelix.png
209,II,Snubbull,fairy,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.,static/Pokemon/snubbull.png
210,II,Granbull,fairy,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might.",static/Pokemon/granbull.png
211,II,Qwilfish,water,poison,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size.",static/Pokemon/qwilfish.png
212,II,Scizor,bug,steel,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.,static/Pokemon/scizor.png
213,II,Shuckle,bug,rock,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",static/Pokemon/shuckle.png
214,II,Heracross,bug,fighting,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.,static/Pokemon/heracross.png
215,II,Sneasel,dark,ice,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",static/Pokemon/sneasel.png
216,II,Teddiursa,normal,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,static/Pokemon/teddiursa.png
217,II,Ursaring,normal,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",static/Pokemon/ursaring.png
218,II,Slugma,fire,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.",static/Pokemon/slugma.png
219,II,Magcargo,fire,rock,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,static/Pokemon/magcargo.png
220,II,Swinub,ice,ground,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,static/Pokemon/swinub.png
221,II,Piloswine,ice,ground,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound.",static/Pokemon/piloswine.png
222,II,Corsola,water,rock,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.,static/Pokemon/corsola.png
223,II,Remoraid,water,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.,static/Pokemon/remoraid.png
224,II,Octillery,water,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.,static/Pokemon/octillery.png
225,II,Delibird,ice,flying,It carries food all day long. There are tales about lost people who were saved by the food it had.,static/Pokemon/delibird.png
226,II,Mantine,water,flying,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.",static/Pokemon/mantine.png
227,II,Skarmory,steel,flying,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.,static/Pokemon/skarmory.png
228,II,Houndour,dark,fire,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders.",static/Pokemon/houndour.png
229,II,Houndoom,dark,fire,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.,static/Pokemon/houndoom.png
230,II,Kingdra,water,dragon,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues.",static/Pokemon/kingdra.png
231,II,Phanpy,ground,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.",static/Pokemon/phanpy.png
232,II,Donphan,ground,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily.",static/Pokemon/donphan.png
233,II,Porygon2,normal,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.,static/Pokemon/porygon2.png
234,II,Stantler,normal,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",static/Pokemon/stantler.png
235,II,Smeargle,normal,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.,static/Pokemon/smeargle.png
236,II,Tyrogue,fighting,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",static/Pokemon/tyrogue.png
237,II,Hitmontop,fighting,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",static/Pokemon/hitmontop.png
238,II,Smoochum,ice,psychic,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care.",static/Pokemon/smoochum.png
239,II,Elekid,electric,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy.",static/Pokemon/elekid.png
240,II,Magby,fire,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose.",static/Pokemon/magby.png
241,II,Miltank,normal,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",static/Pokemon/miltank.png
242,II,Blissey,normal,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better.",static/Pokemon/blissey.png
243,II,Raikou,electric,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,static/Pokemon/raikou.png
244,II,Entei,fire,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,static/Pokemon/entei.png
245,II,Suicune,water,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,static/Pokemon/suicune.png
246,II,Larvitar,rock,ground,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.",static/Pokemon/larvitar.png
247,II,Pupitar,rock,ground,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",static/Pokemon/pupitar.png
248,II,Tyranitar,rock,dark,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",static/Pokemon/tyranitar.png
249,II,Lugia,psychic,flying,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",static/Pokemon/lugia.png
250,II,Ho-Oh,fire,flying,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,static/Pokemon/ho-oh.png
251,II,Celebi,psychic,grass,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",static/Pokemon/celebi.png
252,III,Treecko,grass,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.,static/Pokemon/treecko.png
253,III,Grovyle,grass,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.,static/Pokemon/grovyle.png
254,III,Sceptile,grass,,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.,static/Pokemon/sceptile.png
255,III,Torchic,fire,,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black.",static/Pokemon/torchic.png
256,III,Combusken,fire,fighting,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second.",static/Pokemon/combusken.png
257,III,Blaziken,fire,fighting,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn.",static/Pokemon/blaziken.png
258,III,Mudkip,water,,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes.",static/Pokemon/mudkip.png
259,III,Marshtomp,water,ground,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low.",static/Pokemon/marshtomp.png
260,III,Swampert,water,ground,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.,static/Pokemon/swampert.png
261,III,Poochyena,dark,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",static/Pokemon/poochyena.png
262,III,Mightyena,dark,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.,static/Pokemon/mightyena.png
263,III,Zigzagoon,normal,dark,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.,static/Pokemon/zigzagoon.png
264,III,Linoone,normal,dark,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.,static/Pokemon/linoone.png
265,III,Wurmple,bug,,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping.",static/Pokemon/wurmple.png
266,III,Silcoon,bug,,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",static/Pokemon/silcoon.png
267,III,Beautifly,bug,flying,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen.",static/Pokemon/beautifly.png
268,III,Cascoon,bug,,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon.",static/Pokemon/cascoon.png
269,III,Dustox,bug,poison,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",static/Pokemon/dustox.png
270,III,Lotad,water,grass,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",static/Pokemon/lotad.png
271,III,Lombre,water,grass,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.,static/Pokemon/lombre.png
272,III,Ludicolo,water,grass,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful.",static/Pokemon/ludicolo.png
273,III,Seedot,grass,,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",static/Pokemon/seedot.png
274,III,Nuzleaf,grass,dark,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",static/Pokemon/nuzleaf.png
275,III,Shiftry,grass,dark,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.,static/Pokemon/shiftry.png
276,III,Taillow,normal,flying,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",static/Pokemon/taillow.png
277,III,Swellow,normal,flying,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape.",static/Pokemon/swellow.png
278,III,Wingull,water,flying,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies.",static/Pokemon/wingull.png
279,III,Pelipper,water,flying,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",static/Pokemon/pelipper.png
280,III,Ralts,psychic,fairy,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.,static/Pokemon/ralts.png
281,III,Kirlia,psychic,fairy,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",static/Pokemon/kirlia.png
282,III,Gardevoir,psychic,fairy,It has the power to predict the future. Its power peaks when it is protecting its Trainer.,static/Pokemon/gardevoir.png
283,III,Surskit,bug,water,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread.",static/Pokemon/surskit.png
284,III,Masquerain,bug,flying,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings.",static/Pokemon/masquerain.png
285,III,Shroomish,grass,,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves.",static/Pokemon/shroomish.png
286,III,Breloom,grass,fighting,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame.",static/Pokemon/breloom.png
287,III,Slakoth,normal,,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves.",static/Pokemon/slakoth.png
288,III,Vigoroth,normal,,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.,static/Pokemon/vigoroth.png
289,III,Slaking,normal,,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot.",static/Pokemon/slaking.png
290,III,Nincada,bug,ground,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead.",static/Pokemon/nincada.png
291,III,Ninjask,bug,flying,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.,static/Pokemon/ninjask.png
292,III,Shedinja,bug,ghost,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.,static/Pokemon/shedinja.png
293,III,Whismur,normal,,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache.",static/Pokemon/whismur.png
294,III,Loudred,normal,,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house.",static/Pokemon/loudred.png
295,III,Exploud,normal,,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities.",static/Pokemon/exploud.png
296,III,Makuhita,fighting,,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.,static/Pokemon/makuhita.png
297,III,Hariyama,fighting,,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle.",static/Pokemon/hariyama.png
298,III,Azurill,normal,fairy,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow.",static/Pokemon/azurill.png
299,III,Nosepass,rock,,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",static/Pokemon/nosepass.png
300,III,Skitty,normal,,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.,static/Pokemon/skitty.png
301,III,Delcatty,normal,,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.",static/Pokemon/delcatty.png
302,III,Sableye,dark,ghost,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",static/Pokemon/sableye.png
303,III,Mawile,steel,fairy,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",static/Pokemon/mawile.png
304,III,Aron,steel,rock,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.,static/Pokemon/aron.png
305,III,Lairon,steel,rock,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past.",static/Pokemon/lairon.png
306,III,Aggron,steel,rock,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,static/Pokemon/aggron.png
307,III,Meditite,fighting,psychic,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends.",static/Pokemon/meditite.png
308,III,Medicham,fighting,psychic,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains.",static/Pokemon/medicham.png
309,III,Electrike,electric,,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,static/Pokemon/electrike.png
310,III,Manectric,electric,,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.",static/Pokemon/manectric.png
311,III,Plusle,electric,,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy.",static/Pokemon/plusle.png
312,III,Minun,electric,,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,static/Pokemon/minun.png
313,III,Volbeat,bug,,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise.",static/Pokemon/volbeat.png
314,III,Illumise,bug,,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",static/Pokemon/illumise.png
315,III,Roselia,grass,poison,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",static/Pokemon/roselia.png
316,III,Gulpin,poison,,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything.",static/Pokemon/gulpin.png
317,III,Swalot,poison,,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth.",static/Pokemon/swalot.png
318,III,Carvanha,water,dark,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group.",static/Pokemon/carvanha.png
319,III,Sharpedo,water,dark,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph.",static/Pokemon/sharpedo.png
320,III,Wailmer,water,,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,static/Pokemon/wailmer.png
321,III,Wailord,water,,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,static/Pokemon/wailord.png
322,III,Numel,fire,ground,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma.",static/Pokemon/numel.png
323,III,Camerupt,fire,ground,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma.",static/Pokemon/camerupt.png
324,III,Torkoal,fire,,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,static/Pokemon/torkoal.png
325,III,Spoink,psychic,,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop.",static/Pokemon/spoink.png
326,III,Grumpig,psychic,,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored.",static/Pokemon/grumpig.png
327,III,Spinda,normal,,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,static/Pokemon/spinda.png
328,III,Trapinch,ground,,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.",static/Pokemon/trapinch.png
329,III,Vibrava,ground,dragon,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,static/Pokemon/vibrava.png
330,III,Flygon,ground,dragon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,static/Pokemon/flygon.png
331,III,Cacnea,grass,,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down.",static/Pokemon/cacnea.png
332,III,Cacturne,grass,dark,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops.",static/Pokemon/cacturne.png
333,III,Swablu,normal,flying,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings.",static/Pokemon/swablu.png
334,III,Altaria,dragon,flying,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience.",static/Pokemon/altaria.png
335,III,Zangoose,normal,,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.,static/Pokemon/zangoose.png
336,III,Seviper,poison,,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.,static/Pokemon/seviper.png
337,III,Lunatone,rock,psychic,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.,static/Pokemon/lunatone.png
338,III,Solrock,rock,psychic,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.",static/Pokemon/solrock.png
339,III,Barboach,water,ground,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud.",static/Pokemon/barboach.png
340,III,Whiscash,water,ground,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it.",static/Pokemon/whiscash.png
341,III,Corphish,water,,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.",static/Pokemon/corphish.png
342,III,Crawdaunt,water,dark,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.,static/Pokemon/crawdaunt.png
343,III,Baltoy,ground,psychic,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,static/Pokemon/baltoy.png
344,III,Claydol,ground,psychic,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.",static/Pokemon/claydol.png
345,III,Lileep,rock,grass,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago.",static/Pokemon/lileep.png
346,III,Cradily,rock,grass,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey.",static/Pokemon/cradily.png
347,III,Anorith,rock,bug,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws.",static/Pokemon/anorith.png
348,III,Armaldo,rock,bug,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating.",static/Pokemon/armaldo.png
349,III,Feebas,water,,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.",static/Pokemon/feebas.png
350,III,Milotic,water,,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,static/Pokemon/milotic.png
351,III,Castform,normal,fire,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will.",static/Pokemon/castform.png
352,III,Kecleon,normal,,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself.",static/Pokemon/kecleon.png
353,III,Shuppet,ghost,,"It eats up emotions like malice, jealousy, and resentment, so some people are grateful for its presence.",static/Pokemon/shuppet.png
354,III,Banette,ghost,,"It’s a stuffed toy that was thrown away and became possessed, ever searching for the one who threw it away so it can exact its revenge.",static/Pokemon/banette.png
355,III,Duskull,ghost,,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said.",static/Pokemon/duskull.png
356,III,Dusclops,ghost,,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.",static/Pokemon/dusclops.png
357,III,Tropius,grass,flying,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.,static/Pokemon/tropius.png
358,III,Chimecho,psychic,,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",static/Pokemon/chimecho.png
359,III,Absol,dark,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.",static/Pokemon/absol.png
360,III,Wynaut,psychic,,It tends to move in a pack. Individuals squash against one another to toughen their spirits.,static/Pokemon/wynaut.png
361,III,Snorunt,ice,,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive.",static/Pokemon/snorunt.png
362,III,Glalie,ice,,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere.",static/Pokemon/glalie.png
363,III,Spheal,ice,water,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.,static/Pokemon/spheal.png
364,III,Sealeo,ice,water,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent.",static/Pokemon/sealeo.png
365,III,Walrein,ice,water,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life.",static/Pokemon/walrein.png
366,III,Clamperl,water,,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving.",static/Pokemon/clamperl.png
367,III,Huntail,water,,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.,static/Pokemon/huntail.png
368,III,Gorebyss,water,,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.,static/Pokemon/gorebyss.png
369,III,Relicanth,water,rock,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.,static/Pokemon/relicanth.png
370,III,Luvdisc,water,,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.,static/Pokemon/luvdisc.png
371,III,Bagon,dragon,,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly.",static/Pokemon/bagon.png
372,III,Shelgon,dragon,,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.,static/Pokemon/shelgon.png
373,III,Salamence,dragon,flying,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.,static/Pokemon/salamence.png
374,III,Beldum,steel,psychic,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws.",static/Pokemon/beldum.png
375,III,Metang,steel,psychic,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers.",static/Pokemon/metang.png
